load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,max_Ftotal_reconnect_error,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
21,0.35,31.811003405,2.3486903733,33.360762029,-1.5497586246,0.0032460207556,0.00023966228299,0.0034041593908,-0.00015813863516,0,0,0.20817685139,2.0019673578e-05,-0.10432460227,0.048451166786,0.10252009956,-0.081043034738,0.10331332912,0.079254153331,-0.054862162333,-0.11470634483,0.027170047212,0.027244041615,0.10729923262,-0.10309884113,0.083625475728,0.086987616265,0.095420446801,0.41738545503,0.34977074146,140,5601,4059,67,73,1,384,3,-1,2465,4273,1585,1585,8.0705937127e-16,0,1,8,0,0,1m 18s,1m 16.179s,2.413s,3m 46s,47.237133936,34.941830019,93.899165432,-0.39247752978,71.507146915,-1.5607972914
22,0.36,32.989694764,1.1786913593,35.402023525,-2.412328761,0.0033662953841,0.0001202746285,0.0036124513801,-0.00024615599602,0,0,0.19474960451,1.0834118982e-05,-0.12289167804,0.019692668993,0.12121772027,-0.090945516965,0.097570865803,0.089141014258,-0.07787819681,-0.12772070205,-0.0035959943466,-0.0068945961142,0.11951840693,-0.11250578242,0.076083511136,0.078832602588,0.1035147345,0.48878183801,0.48188786681,157,1967,7702,64,67,1,477,3,-1,2349,3829,1983,1983,7.7514931232e-16,0,1,8,0,0,1m 20s,1m 18.334s,2.532s,3m 39s,47.586540834,34.941819292,94.86768221,-0.1176345793,71.396497497,-1.5782471079
23,0.37,34.858188936,1.8684941722,35.196098423,-0.33790948627,0.0035569580547,0.00019066267063,0.0035914386145,-3.4480559824e-05,0,0,0.19499606265,7.6865977834e-06,-0.1147126901,0.057832421382,0.11305877294,-0.10950074775,0.070386637055,0.10782678998,-0.012554215674,-0.12770427162,0.033964385299,0.033886000457,0.11864758497,-0.12605705513,0.046767266335,0.046226244534,0.11596849436,0.085943444141,0.41720587735,43,5888,3791,62,59,1,343,3,-1,1824,2854,2259,2259,8.4212777814e-16,0,1,8,0,0,1m 22s,1m 20.186s,2.649s,3m 31s,47.926172614,34.934695719,95.709963145,0.023347157823,71.488427394,-1.5822266727
24,0.38,33.337234589,-1.5209543476,38.914435245,-5.5772006563,0.0034017586315,-0.00015519942322,0.0039708607393,-0.00056910210779,0,0,0.20045368458,9.9094625683e-06,-0.13226877107,0.029638126552,0.13110203409,-0.10122414581,0.10698208535,0.099570228653,-0.077343958795,-0.14000666937,0.0040501171646,0.0026505480902,0.12991296836,-0.12574159379,0.082737312808,0.085648096152,0.11476100323,0.43042511019,0.40402440495,191,1870,7847,40,43,1,322,3,-1,2953,4801,3738,3738,9.5645315072e-16,0,1,8,0,0,1m 26s,1m 23.191s,2.766s,3m 27s,48.275533183,34.934629225,96.434000493,0.031202411771,71.558089011,-1.5923463403
25,0.39,36.072222552,2.7349879629,36.058274991,0.013947560756,0.0036808390359,0.00027908040437,0.0036794158154,1.4232204853e-06,0,0,0.19449412012,9.2329632419e-06,-0.12024666131,0.076816483315,0.119082949,-0.1183469202,0.081276752802,0.11718018322,-0.0044602694864,-0.13776650541,0.050509700131,0.053921481344,0.12696682529,-0.13757833093,0.05521314538,0.05691348234,0.12601749183,0.010233877593,0.5212136552,26,8292,1428,32,48,1,132,3,-1,1334,2241,2828,2828,9.3807469402e-16,0,1,8,0,0,1m 27s,1m 24.550s,2.882s,3m 19s,48.622105908,34.927550444,97.121947107,0.028729517372,71.574543719,-1.7896528781
26,0.4,39.678419459,3.6061969071,41.039908289,-1.3614888308,0.0040488183121,0.00036797927623,0.0041877457438,-0.00013892743171,0,0,0.2049912677,1.3885876498e-05,-0.13146378602,0.068327531218,0.13023730431,-0.10683776272,0.12496585456,0.10567405041,-0.056638323341,-0.14798843479,0.040351011804,0.041520388512,0.13589313914,-0.13529781411,0.098137610095,0.1047282668,0.12304955591,0.44586264521,0.71530337224,115,5371,4379,18,32,1,233,3,-1,2256,3996,1888,1888,8.4646745965e-16,0,1,8,0,0,1m 29s,1m 26.860s,2.998s,3m 13s,48.971378609,34.927526732,97.909813551,0.12724369721,71.732052767,-2.2831401927
27,0.41,43.021725965,3.3433065064,44.221415022,-1.1996890566,0.0043899720372,0.00034115372514,0.0045123892879,-0.00012241725067,0,0,0.19386628196,9.6258471204e-06,-0.13615426766,0.075567170853,0.13494377063,-0.11738658381,0.11663274615,0.11616010211,-0.041065575294,-0.15518718465,0.045069822556,0.046644071903,0.14151791556,-0.14527281297,0.088184167495,0.092653083045,0.13142000105,0.3499864117,0.89022815357,72,5613,4130,21,36,1,237,3,-1,2251,4131,1357,1357,7.3947184895e-16,0,1,8,0,0,1m 32s,1m 29.235s,3.116s,3m 8s,49.320660628,34.927528277,98.745104584,0.27079303347,71.78655222,-2.1571395915
28,0.42,46.225021897,3.2032959321,47.915975823,-1.6909539258,0.0047168389691,0.00032686693184,0.0048893852881,-0.00017254631896,0,0,0.20494337261,9.8612138746e-06,-0.13174837715,0.099419256702,0.13059241421,-0.12160233483,0.12346265323,0.1203918378,-0.024043396524,-0.15710740346,0.066384869498,0.070004050172,0.1425426806,-0.15245397167,0.09251324731,0.097565392038,0.13688296389,0.14339961735,0.3902956437,59,7299,2459,19,23,1,204,3,-1,1930,3140,1460,1460,7.3268838603e-16,0,1,8,0,0,1m 34s,1m 31.663s,3.234s,3m 4s,49.666921413,34.920360012,99.404429652,0.24595599327,71.786360475,-2.0431040572
29,0.43,48.616741761,2.3917198639,52.230508583,-3.6137668216,0.0049608920164,0.00024405304734,0.0053296437329,-0.00036875171649,0,0,0.24345302552,1.1719486809e-05,-0.14821093001,0.084044613194,0.14707082212,-0.11751991247,0.14499080769,0.11636394952,-0.060946194497,-0.17101663376,0.046695587009,0.049423959133,0.15471878871,-0.15491413469,0.11150665307,0.11865904808,0.13822781147,0.48498936604,0.4318495043,76,6526,3224,27,23,1,210,3,-1,2448,4031,1540,1540,8.1414331052e-16,0,1,8,0,0,1m 37s,1m 34.511s,3.361s,3m 0s,50.019192637,34.927514038,100.00761027,0.15858958511,72.192407583,-2.3062833677
30,0.44,51.881362672,3.2646209109,53.923786989,-2.0424243174,0.0052940165992,0.00033312458274,0.0055024272438,-0.00020841064464,0,0,0.25068886289,1.2999273932e-05,-0.13357520276,0.12629157305,0.13263091094,-0.13244186379,0.1317993541,0.13130175589,-0.0055077810481,-0.16791250178,0.087439513943,0.095595066819,0.15067735563,-0.16809110955,0.094120803029,0.10068885205,0.14988733336,0.013560900702,0.32821374178,15,9161,602,22,15,1,99,3,-1,2502,4097,1544,1544,8.2526080075e-16,0,1,8,0,0,1m 40s,1m 36.977s,3.477s,2m 56s,50.372457921,34.920382062,100.67734778,0.1382667635,72.195413622,-2.2994823999
31,0.45,55.182113116,3.3007504444,59.156443669,-3.9743305525,0.005630827869,0.00033681126983,0.0060363718029,-0.00040554393393,0,0,0.2393746142,1.4442231242e-05,-0.16069756832,0.092700990693,0.15974054096,-0.1192107815,0.16974469423,0.11826648968,-0.077043703541,-0.18757691991,0.050256514454,0.053374119813,0.16835806435,-0.16609453747,0.13044362301,0.14236738274,0.14673475238,0.50148419188,0.67632161107,129,5307,4474,10,9,1,196,3,-1,2156,3505,1978,1978,9.1672563879e-16,0,1,8,0,0,1m 42s,1m 38.987s,3.593s,2m 51s,50.721661493,34.920365635,101.08439883,-0.16747500225,72.218656836,-2.3806578495
32,0.46,59.444946483,4.262833367,60.904027079,-1.4590805959,0.0060658108656,0.00043498299663,0.0062146966407,-0.00014888577509,0,0,0.23168542074,2.6399533316e-05,-0.16723484418,0.0979984948,0.16626283538,-0.14452473613,0.1400767293,0.14356770876,-0.0420782345,-0.19661464885,0.05254391935,0.055195206549,0.17574725748,-0.18491153916,0.097281960045,0.1044890439,0.16374006428,0.32901840672,0.8644737589,80,5327,4453,11,9,1,222,3,-1,2518,4755,2830,2830,9.3481157698e-16,0,1,8,0,0,1m 45s,1m 41.805s,3.710s,2m 47s,51.070883014,34.92038108,101.70506248,-0.22649092203,72.008955089,-2.4121665037
33,0.47,64.135444365,4.6904978814,65.4006365,-1.2651921354,0.0065444330984,0.00047862223279,0.0066735343367,-0.0001291012383,0,0,0.22650180997,2.1291425226e-05,-0.17287409386,0.10679428804,0.17192861715,-0.15089207765,0.14458526643,0.14992006885,-0.037790978385,-0.2055600461,0.058135413629,0.061535816496,0.1826476791,-0.19406332314,0.098773590663,0.1056429558,0.1709977678,0.36674930061,0.89569721946,81,5575,4203,12,10,1,227,3,-1,2443,4381,1951,1951,8.3479739061e-16,0,1,8,0,0,1m 48s,1m 44.230s,3.825s,2m 43s,51.423429711,34.927517203,102.40916622,-0.18523165525,71.944088016,-2.2135529713
34,0.48,67.340100864,3.2046564993,70.530100799,-3.1899999347,0.0068714388637,0.00032700576523,0.0071969490611,-0.00032551019742,0,0,0.10010345029,2.5823576461e-05,-0.19722580506,0.082011149615,0.19648973115,-0.15629786913,0.15344573129,0.15535239242,-0.071434581677,-0.22374052973,0.029327792889,0.029840111723,0.19871265183,-0.20321257112,0.1043514914,0.11221470051,0.17795290961,0.55650524923,0.63326821033,173,1679,8107,9,5,1,254,3,-1,3708,6656,3587,3587,1.0230280748e-15,0,1,8,0,0,1m 52s,1m 48.301s,3.941s,2m 42s,51.76928233,34.920398949,103.68373451,0.35485156497,71.961899604,-2.2854663927
35,0.49,72.325583358,4.9854824938,72.553677368,-0.22809401036,0.0073801615671,0.00050872270345,0.0074034364661,-2.3274899016e-05,0,0,0.096032153833,8.1298149347e-06,-0.18507705042,0.12205831249,0.18434005262,-0.18030035748,0.13060756129,0.17956428357,-0.0085492487945,-0.22296995551,0.068246663067,0.074394387748,0.19674526253,-0.22128087911,0.077357260014,0.082483654093,0.19423936094,0.13139877039,0.68690083075,15,7373,2414,8,5,1,161,3,-1,2080,3580,2409,2409,9.7344072439e-16,0,1,8,0,0,1m 54s,1m 50.432s,4.058s,2m 37s,52.118491098,34.920392751,104.36935154,0.34741461757,71.951339863,-2.281824379
36,0.5,78.523223364,6.1976400065,79.466279494,-0.94305612948,0.0080125738127,0.00063241224557,0.00810880403,-9.6230217294e-05,0,0,0.10007507114,1.4926617903e-05,-0.1836558464,0.1428785855,0.18290912128,-0.16847556663,0.16848214278,0.16773856883,-0.025603557282,-0.228899526,0.086127571537,0.094375015797,0.20024720287,-0.22061833414,0.11401287941,0.1249511866,0.19213406021,0.23906475715,0.85241810678,55,7314,2473,5,8,1,148,3,-1,2370,3790,1619,1619,7.5984331346e-16,0,1,8,0,0,1m 56s,1m 52.625s,4.176s,2m 33s,52.460554753,34.920394345,105.1322922,0.41786586703,71.860386352,-2.256725246
37,0.51,83.048907332,4.5256839674,86.625270693,-3.5763633616,0.0084743782991,0.00046180448647,0.008839313336,-0.0003649350369,0,0,0.13697176647,9.3543165218e-06,-0.20268108138,0.130822117,0.20207148676,-0.16763213141,0.1871449834,0.1668854063,-0.056322866403,-0.24669164126,0.06799477677,0.074540840484,0.21510633637,-0.2270887956,0.12965798064,0.14274581784,0.19586996733,0.43649182701,0.57622080326,86,6453,3332,8,7,1,150,3,-1,1953,3108,2202,2202,6.9845747977e-16,0,1,8,0,0,1m 58s,1m 54.525s,4.301s,2m 29s,52.809782189,34.920382245,105.69480285,0.29239623694,71.572957423,-2.2548013913
38,0.52,90.08522324,7.036315908,90.616035943,-0.5308127038,0.0091923697183,0.00071799141918,0.0092465342799,-5.4164561613e-05,0,0,0.092084323037,1.592786399e-05,-0.18965243118,0.17068131176,0.18918928922,-0.18493601675,0.17724282258,0.18432642213,-0.0065615108236,-0.24680977772,0.1049977194,0.11762926971,0.21338197354,-0.2440812033,0.11380701344,0.12562641756,0.21021411979,0.062470034044,0.30332488532,30,9120,664,8,8,1,91,3,-1,1936,3029,1787,1787,1.0387399186e-15,0,1,8,0,0,2m 0s,1m 56.421s,4.418s,2m 24s,53.158962187,34.920405654,106.38007966,0.29076966734,71.569949246,-2.2579071738
