load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
26,0.4,44.801263037,3.0986924263,46.03487917,-1.2336161335,0.0045715574527,0.00031619310473,0.00469743665,-0.00012587919729,0,0,0.11684550853,1.3033776121e-05,-0.13137255232,0.088370137238,0.13026655479,-0.11962722892,0.11221170881,0.11838686961,-0.023841571575,-0.15467069944,0.05359042894,0.056239464232,0.14099295814,-0.14897681488,0.080549918578,0.083097718993,0.13428930325,0.19595854693,0.45220561221,61,6890,2813,55,42,1,228,3,-1,3182,5526,2360,2360,0,1,8,0,0,1m 32s,1m 29.468s,2.768s,3m 19s,48.997090941,34.95609313,97.943135199,0.18988309275,72.483425592,-2.3494396263
27,0.41,48.447294876,3.6460318399,50.273219536,-1.8259246594,0.004943601518,0.00037204406529,0.0051299203608,-0.00018631884279,0,0,0.16008526428,1.4768012931e-05,-0.14458745739,0.080462278668,0.14349918066,-0.11624508054,0.13420726549,0.11513908301,-0.053744986822,-0.16712945561,0.041900738444,0.043665960788,0.15181502103,-0.15222596184,0.099258867549,0.1053747943,0.13662052125,0.1893760591,0.27689670991,122,5016,4701,51,32,1,314,3,-1,3672,5828,2265,2265,0,1,8,0,0,1m 36s,1m 33.906s,2.873s,3m 18s,49.346642395,34.956090835,98.664530371,0.21456514288,72.550164478,-2.2903661834
28,0.42,52.886905306,4.4396104291,53.560324288,-0.67341898233,0.0053966229904,0.00045302147235,0.005465339213,-6.8716222686e-05,0,0,0.15198662151,1.3577968617e-05,-0.145654485,0.096814230689,0.14453870004,-0.12829922463,0.12749629366,0.12721094789,-0.030682062971,-0.17333252879,0.054725699444,0.058341956298,0.15708776748,-0.16420557977,0.088868536264,0.094337385269,0.1469853094,0.17302076292,0.36448178922,104,6125,3594,33,48,1,314,3,-1,4944,8324,2044,2044,0,1,8,0,0,1m 41s,1m 38.834s,2.987s,3m 19s,49.696217576,34.956102665,99.385134989,0.25306567553,72.552536905,-1.9871162676
29,0.43,56.855973386,3.9690680806,58.754364392,-1.8983910053,0.0058016299374,0.000405006947,0.0059953433053,-0.00019371336789,0,0,0.14436997962,1.8505765997e-05,-0.1571909333,0.094089380751,0.15613447313,-0.12969822859,0.14196085434,0.12858244364,-0.047871473585,-0.18548183498,0.048685452701,0.05115818274,0.16677613002,-0.17085726597,0.099743340783,0.10715838445,0.15254675118,0.17189228788,0.35814733884,230,4401,5325,45,29,1,374,3,-1,3709,6378,2356,2356,0,1,8,0,0,1m 45s,1m 42.707s,3.097s,3m 17s,50.035551629,34.948921085,100.09162267,0.26711927433,72.480977432,-2.0750993725
30,0.44,60.525856696,3.6698833095,62.606895737,-2.0810390409,0.0061761078261,0.00037447788873,0.0063884587486,-0.00021235092254,0,0,0.21581737103,1.6649253271e-05,-0.15222842638,0.11690427766,0.15123352666,-0.14024159352,0.139978793,0.13918513336,-0.023074515331,-0.18793153088,0.068527077025,0.074050045321,0.16790389959,-0.18265021743,0.094578714406,0.1010634971,0.16192047764,0.087044286396,0.52019683184,160,7449,2270,37,44,1,212,3,-1,3801,5871,3077,3077,0,1,8,0,0,1m 49s,1m 46.055s,3.204s,3m 13s,50.385044886,34.948958844,100.7725425,0.26007527754,72.466510978,-2.1135535304
31,0.45,58.975647512,-1.5502091837,67.351915708,-8.3762681963,0.0060179232155,-0.00015818461058,0.00687264446,-0.00085472124452,0,0,0.09674572044,1.7495827282e-05,-0.17313278354,0.094325069348,0.17247600362,-0.13562213272,0.16082770374,0.134627233,-0.066502634387,-0.20312283643,0.043252135323,0.044532592701,0.18169783182,-0.18550509914,0.11242619984,0.12204749736,0.16343810248,0.42862820616,0.38314624403,192,1401,8347,27,25,1,316,3,-1,3806,6268,4032,4032,0,1,8,0,0,1m 53s,1m 49.878s,3.333s,3m 11s,50.734520193,34.948925087,101.33741971,0.14011083624,72.025667261,-1.9901085155
32,0.46,64.313645926,5.3379984143,64.746936282,-0.43329035537,0.0065626169313,0.00054469371575,0.0066068302328,-4.4213301569e-05,0,0,0.11946776897,2.2167084845e-05,-0.16138737377,0.13009624756,0.16071488657,-0.15457119291,0.14079606864,0.15391441299,-0.010699821077,-0.20339919907,0.074746786877,0.082657301085,0.18090295717,-0.19959589006,0.089952999536,0.095602365942,0.1759930674,0.12885890028,0.66091404475,46,8321,1431,27,21,1,173,3,-1,1914,3341,4012,4012,0,1,8,0,0,1m 55s,1m 51.882s,3.440s,3m 5s,51.087307051,34.956100366,101.9849348,0.095364850903,71.991505803,-1.9734222028
33,0.47,71.533458398,7.2198124712,71.777155827,-0.24369742926,0.0072993324895,0.00073671555829,0.0073241995742,-2.4867084618e-05,0,0,0.11718710379,1.4006745116e-05,-0.15249065884,0.16135632417,0.15181370985,-0.14386373426,0.1737496018,0.14319124706,-0.012393277626,-0.20566648189,0.10325345812,0.11536926002,0.18135756995,-0.20085968644,0.11848187897,0.13087098428,0.17634360294,0.048577345777,0.52174427534,100,8862,923,5,10,1,164,3,-1,7016,11513,1012,1012,0,1,8,0,0,2m 2s,1m 58.766s,3.545s,3m 7s,51.436871347,34.95610187,102.63413047,0.048356763108,72.018170535,-1.9209316511
34,0.48,76.367507046,4.8340486482,80.453666426,-4.0861593799,0.0077926027598,0.00049327027023,0.0082095577985,-0.00041695503877,0,0,0.13166310943,2.2151619046e-05,-0.17718520016,0.14432510985,0.17657014975,-0.1362875615,0.20194272745,0.13561061251,-0.057617617595,-0.22686385216,0.077373140205,0.08837064294,0.19946341833,-0.20421929823,0.14369210234,0.16030814751,0.17762588855,0.55732290601,0.62273841174,76,8241,1519,13,27,1,131,3,-1,3955,6738,1866,1866,0,1,8,0,0,2m 6s,2m 2.842s,3.656s,3m 5s,51.789866288,34.963286896,103.33512137,0.06427744865,71.783209819,-1.7935102137
35,0.49,84.027653961,7.6601469149,84.515230781,-0.48757682017,0.0085742504041,0.00078164764438,0.0086240031409,-4.9752736752e-05,0,0,0.11847867909,1.8038101022e-05,-0.19228386405,0.14281601013,0.19155830288,-0.15894744644,0.1874052912,0.15833239603,-0.044589281073,-0.2430786183,0.071165507682,0.079798251487,0.21234521322,-0.22444533382,0.12054198123,0.13646335376,0.19530487423,0.33295557069,0.37949400433,153,4423,5348,17,12,1,192,3,-1,6140,10647,3371,3371,0,1,8,0,0,2m 13s,2m 9.301s,3.764s,3m 6s,52.139494077,34.963234102,104.09164379,0.13669019177,71.715462943,-2.0921170025
36,0.5,91.10184839,7.0741944296,92.079770572,-0.97792218196,0.0092961069786,0.00072185657445,0.0093958949563,-9.9787977751e-05,0,0,0.098367567586,2.4062807257e-05,-0.20021862522,0.15121535746,0.1995392951,-0.1738252522,0.18555535321,0.17309969103,-0.034339995753,-0.25545618769,0.075197607408,0.083911568879,0.22091393498,-0.2407622641,0.1139783669,0.12765784467,0.20786133545,0.31321304046,0.70004195169,82,3996,5790,8,6,1,136,3,-1,3333,6138,2757,2757,0,1,8,0,0,2m 16s,2m 12.906s,3.871s,3m 2s,52.485555912,34.956122308,104.74459884,0.088880357191,71.711350064,-2.1116850194
