gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
3.0,1.003165595567867,1.0031407644044321,0.11164732251011082,0.11161880442105264,0.04616981076869806,0.04751463592797783,1.0022485872576177,1.0021730803324098
3.1,1.0029615512465373,1.0029321904432131,0.11018598629847645,0.11015933285872576,0.05077907900401662,0.0521533533401662,1.0022104432132963,1.0021415793240998
3.2,1.0026544736842105,1.002616629548338,0.10856395998296399,0.1085373312838504,0.05554596718144045,0.056948808052631576,1.0022857756232686,1.002228182903047
3.3,1.0024569390581717,1.0024150999155124,0.10699824651454294,0.10697096613102491,0.06028320685180055,0.06170166851800554,1.0022894736842105,1.0022365772853186
3.4,1.0022451800554018,1.0022074290443215,0.10530808415734072,0.1052823749066482,0.06530781042243766,0.06672983717451524,1.0024598891966758,1.00241165734072
3.5,1.0020720637119114,1.00203097066482,0.10351930322243767,0.10349337573684211,0.07057710473393353,0.07199411440443214,1.002745706371191,1.00269872
3.6,1.002065595567867,1.0020225287119113,0.10171247986523545,0.10168604524265928,0.07597289101246538,0.07737473717451523,1.0029924515235458,1.002937166371191
3.7,1.0022398476454293,1.0021978244459833,0.09961404615512465,0.09957904632132963,0.08171841202216067,0.08314477941551246,1.0037053462603878,1.003675253462604
3.8,1.0044283379501386,1.004363146398892,0.11583903463296398,0.11579751350831025,0.08849274972437673,0.08977847374515237,1.0084737396121883,1.0083941512465373
3.9,1.0039550277008311,1.0038929022160665,0.11392990657202216,0.11388933891135734,0.09357492693060943,0.0948741391966759,1.0088156094182825,1.0087373800554016
4.0,1.0034223130193907,1.0033684386426593,0.11202398943739614,0.11198527116343492,0.09868362844667589,0.10001104268144044,1.0092030332409971,1.009126533102493
