gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.36,1.0005152948979592,0.9992359543061224,0.3605211444489796,0.3601800954489796,-0.00017092471448979627,-0.0006834470306122434,1.001008773642857,0.9905489918367347
0.37,1.0005341565306125,0.9989613912244898,0.37052427545918365,0.3694962177346939,-0.00016757953367346897,-0.0007157277755102038,1.0010051838775509,0.9909894387653062
0.38,1.000419870510204,0.9985506831816328,0.38052975893877555,0.37915177950816326,-0.0001122508877551026,-0.0007013592857142859,1.0011738376734696,0.9909239505918368
0.39,1.0004344470408162,0.9986234122448979,0.3905527433265306,0.3889078260285715,-0.00015435873571428526,-0.0008652668979591832,1.001166965387755,0.9911744146938776
0.4,1.0004395726530613,0.9986162811224489,0.40056063263265307,0.3990494925,-0.0002462401734693878,-0.0009211591020408157,1.0011645195918368,0.9916887915510203
0.41,1.0004721058163266,0.9986899102142857,0.41057069269081636,0.40908009786734695,-0.00024640521428571384,-0.0008615465204081635,1.0011623180612244,0.9916138706020409
0.42,1.0005236106122448,0.9987505999897959,0.4205995705397959,0.4192917343673469,-0.00032227696938775635,-0.000988272316326532,1.001122762346939,0.9913788825408164
0.43,1.000462262755102,0.9990021879591837,0.43056265979591835,0.42921146326530607,-0.00026626817040816393,-0.0008190933753061219,1.0010467634693876,0.991134225612245
0.44,1.0005643633673469,0.9995939881632653,0.44051580572448973,0.4393918271428571,-0.0002077663030612239,-0.0008445322448979597,1.0010523030204082,0.9905586336734693
0.45,1.0005733304081632,0.9993522060204082,0.4505307452959183,0.44923230612244897,-0.00023898503061224434,-0.0012559264285714293,1.0010792843877552,0.9902805855102041
0.46,1.000556956112245,0.999288482755102,0.4605320165306122,0.459177111632653,-0.0002746695510204084,-0.001348943469387756,1.0010830785714284,0.9902611472448979
0.47,1.0006270003061224,0.9991615703775508,0.47054866293877556,0.4689807876377552,-0.00029925748979591816,-0.0013879281428571433,1.0010599686734694,0.9902811236734693
